tenure,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,MonthlyChargeRatio,churn_binary
1,45.25,45.25,Male,1,No,No,Yes,No,DSL,22.625,0
72,99.9,7251.7,Female,0,Yes,Yes,Yes,Yes,Fiber optic,99.33835616438355,0
5,69.7,316.9,Male,0,No,No,Yes,No,Fiber optic,52.81666666666666,1
46,74.8,3548.3,Female,0,No,No,Yes,No,Fiber optic,75.49574468085106,0
34,106.35,3549.25,Male,0,No,No,Yes,Yes,Fiber optic,101.40714285714286,1
11,97.85,1105.4,Female,0,No,No,Yes,Yes,Fiber optic,92.11666666666667,1
10,49.55,475.7,Male,0,Yes,Yes,Yes,No,DSL,43.24545454545454,0
70,69.2,4872.35,Female,0,Yes,Yes,Yes,Yes,DSL,68.62464788732395,0
17,20.75,418.25,Female,0,Yes,Yes,Yes,No,No,23.23611111111111,0
63,79.85,4861.45,Female,0,No,No,Yes,Yes,DSL,75.96015625,0
13,76.2,981.45,Female,0,Yes,No,Yes,Yes,DSL,70.10357142857143,0
49,84.5,3906.7,Female,0,No,No,Yes,Yes,Fiber optic,78.134,0
2,49.25,97.0,Male,0,No,No,Yes,No,DSL,32.333333333333336,0
2,80.65,144.15,Female,0,No,No,Yes,No,Fiber optic,48.050000000000004,1
52,79.75,4217.8,Male,0,No,No,Yes,Yes,DSL,79.5811320754717,0
69,64.15,4254.1,Female,0,Yes,Yes,Yes,Yes,DSL,60.77285714285715,0
43,90.25,3838.75,Female,1,No,No,Yes,Yes,Fiber optic,87.24431818181819,0
15,99.1,1426.4,Female,0,No,No,Yes,No,Fiber optic,89.15,1
25,69.5,1752.65,Female,1,Yes,No,Yes,Yes,DSL,67.40961538461539,0
8,80.65,633.3,Female,1,Yes,No,Yes,Yes,Fiber optic,70.36666666666666,1
60,74.85,4456.35,Female,1,Yes,Yes,Yes,No,DSL,73.05491803278689,0
18,95.45,1752.55,Male,1,No,No,Yes,Yes,Fiber optic,92.23947368421052,1
63,99.65,6311.2,Female,0,Yes,Yes,Yes,Yes,Fiber optic,98.6125,0
66,108.45,7076.35,Male,1,Yes,Yes,Yes,Yes,Fiber optic,105.61716417910448,0
34,24.95,894.3,Female,0,Yes,Yes,Yes,Yes,No,25.55142857142857,0
72,107.5,7853.7,Female,0,No,No,Yes,Yes,Fiber optic,107.58493150684932,0
47,100.5,4707.1,Female,0,Yes,No,Yes,Yes,Fiber optic,98.06458333333335,0
60,89.9,5450.7,Male,0,No,No,Yes,Yes,Fiber optic,89.35573770491803,0
72,42.1,2962.0,Male,0,Yes,No,No,No phone service,DSL,40.57534246575342,0
18,54.4,957.1,Female,0,Yes,Yes,Yes,No,DSL,50.373684210526314,0
9,94.4,857.25,Female,0,No,No,Yes,Yes,Fiber optic,85.725,1
3,75.3,244.1,Female,0,No,No,Yes,No,DSL,61.025,0
47,78.9,3650.35,Male,0,Yes,No,Yes,Yes,Fiber optic,76.04895833333333,0
31,79.2,2497.2,Female,0,No,No,Yes,No,DSL,78.0375,0
50,20.15,930.9,Female,0,Yes,Yes,Yes,No,No,18.25294117647059,0
10,79.85,887.35,Male,0,No,No,Yes,No,Fiber optic,80.66818181818182,0
1,49.05,49.05,Male,0,No,No,Yes,No,DSL,24.525,0
52,20.4,1090.65,Female,0,Yes,Yes,Yes,No,No,20.578301886792456,0
64,111.6,7099.0,Male,1,Yes,Yes,Yes,Yes,Fiber optic,109.21538461538462,0
62,24.25,1424.6,Male,0,Yes,Yes,Yes,Yes,No,22.61269841269841,0
3,64.5,177.4,Female,0,No,Yes,Yes,No,DSL,44.35,0
56,110.5,6139.5,Female,1,No,No,Yes,Yes,Fiber optic,107.71052631578948,0
46,55.65,2688.85,Female,0,No,No,Yes,No,DSL,57.2095744680851,0
8,54.65,482.25,Female,0,Yes,Yes,Yes,No,DSL,53.583333333333336,0
30,74.75,2111.3,Male,1,No,No,Yes,No,DSL,68.10645161290323,0
45,25.9,1216.6,Female,0,Yes,Yes,Yes,Yes,No,26.44782608695652,0
1,79.35,79.35,Female,0,No,Yes,Yes,No,Fiber optic,39.675,1
11,50.55,565.35,Female,0,Yes,Yes,No,No phone service,DSL,47.112500000000004,0
7,75.15,496.9,Female,0,Yes,No,Yes,No,Fiber optic,62.1125,1
42,103.8,4327.5,Female,0,No,No,Yes,No,Fiber optic,100.63953488372093,0
49,20.15,973.35,Female,0,Yes,No,Yes,No,No,19.467,0
9,99.3,918.75,Male,0,No,No,Yes,Yes,Fiber optic,91.875,0
35,62.15,2215.45,Female,0,Yes,No,Yes,No,DSL,61.540277777777774,0
48,20.65,1057.0,Female,0,Yes,Yes,Yes,No,No,21.571428571428573,0
46,19.95,927.1,Female,0,Yes,Yes,Yes,No,No,19.72553191489362,0
29,33.75,1009.25,Male,0,Yes,No,No,No phone service,DSL,33.641666666666666,0
30,82.05,2570.2,Male,0,Yes,Yes,Yes,No,Fiber optic,82.90967741935484,0
1,74.7,74.7,Male,1,No,No,Yes,No,Fiber optic,37.35,0
66,84.0,5714.25,Male,0,Yes,Yes,Yes,Yes,DSL,85.28731343283582,0
65,111.05,7107.0,Female,0,No,No,Yes,Yes,Fiber optic,107.68181818181819,0
72,100.9,7459.05,Male,0,No,No,Yes,Yes,Fiber optic,102.17876712328767,0
12,78.95,927.35,Female,0,No,No,Yes,Yes,Fiber optic,71.33461538461539,1
71,66.85,4748.7,Male,0,Yes,Yes,Yes,Yes,DSL,65.95416666666667,0
5,21.05,113.85,Male,0,No,No,Yes,No,No,18.974999999999998,1
52,21.0,1107.2,Male,0,No,No,Yes,No,No,20.89056603773585,0
25,98.5,2514.5,Female,1,Yes,No,Yes,No,Fiber optic,96.71153846153847,1
1,20.2,20.2,Male,0,No,No,Yes,No,No,10.1,0
1,19.45,19.45,Female,0,Yes,Yes,Yes,No,No,9.725,0
38,95.0,3605.6,Male,0,No,No,Yes,Yes,Fiber optic,92.45128205128205,0
66,45.55,3027.25,Female,1,Yes,No,No,No phone service,DSL,45.18283582089552,0
68,110.0,7611.85,Male,0,Yes,No,Yes,Yes,Fiber optic,110.31666666666668,1
5,24.3,100.2,Male,0,No,No,No,No phone service,DSL,16.7,0
72,104.15,7303.05,Female,0,Yes,Yes,Yes,Yes,Fiber optic,100.04178082191781,0
32,30.15,927.65,Female,0,No,No,No,No phone service,DSL,28.11060606060606,0
43,94.35,3921.3,Male,0,No,No,Yes,Yes,Fiber optic,89.12045454545455,0
72,19.4,1363.25,Male,0,Yes,Yes,Yes,No,No,18.674657534246574,0
55,96.75,5238.9,Male,0,Yes,No,Yes,Yes,Fiber optic,93.55178571428571,1
52,57.95,3042.25,Female,0,No,No,Yes,No,DSL,57.40094339622642,0
43,91.65,3954.1,Female,0,No,No,Yes,No,Fiber optic,89.86590909090908,0
37,76.5,2868.15,Female,1,Yes,No,Yes,Yes,Fiber optic,75.47763157894737,1
64,54.6,3423.5,Female,0,Yes,Yes,No,No phone service,DSL,52.66923076923077,0
3,89.85,248.4,Male,0,Yes,Yes,Yes,No,Fiber optic,62.1,0
36,31.05,1126.35,Female,0,No,No,No,No phone service,DSL,30.44189189189189,0
10,100.25,1064.65,Female,0,Yes,Yes,Yes,Yes,Fiber optic,96.78636363636365,1
41,20.65,835.15,Female,0,No,No,Yes,No,No,19.88452380952381,0
27,85.2,2151.6,Male,0,Yes,Yes,Yes,Yes,Fiber optic,76.84285714285714,0
56,99.8,5515.45,Female,0,Yes,Yes,Yes,Yes,Fiber optic,96.76228070175438,0
6,20.7,112.75,Female,0,No,No,Yes,No,No,16.107142857142858,0
3,74.4,229.55,Male,0,No,No,Yes,Yes,Fiber optic,57.3875,1
7,50.7,350.35,Female,0,Yes,Yes,Yes,No,DSL,43.79375,0
4,20.85,62.9,Female,0,Yes,Yes,Yes,No,No,12.58,0
33,88.95,3027.65,Male,0,No,No,Yes,No,Fiber optic,89.0485294117647,0
27,78.05,2135.5,Female,1,No,No,Yes,Yes,Fiber optic,76.26785714285714,1
72,23.55,1723.95,Male,0,Yes,No,Yes,Yes,No,23.615753424657534,0
1,19.75,19.75,Male,0,No,No,Yes,No,No,9.875,0
71,56.45,3985.35,Male,1,No,No,No,No phone service,DSL,55.35208333333333,0
13,85.95,1215.65,Female,0,No,No,Yes,Yes,Fiber optic,86.83214285714287,0
25,58.6,1502.65,Female,0,Yes,Yes,No,No phone service,DSL,57.79423076923077,1
67,50.55,3260.1,Male,0,No,No,Yes,No,DSL,47.942647058823525,0
1,35.45,35.45,Male,0,No,No,No,No phone service,DSL,17.725,1
2,44.35,81.25,Male,0,No,No,Yes,No,DSL,27.083333333333332,1
43,25.7,1188.2,Female,0,No,No,Yes,Yes,No,27.004545454545454,0
23,75.0,1778.5,Female,0,No,No,Yes,No,Fiber optic,74.10416666666667,0
64,20.2,1277.75,Female,0,Yes,Yes,Yes,No,No,19.657692307692308,0
57,19.6,1170.55,Male,0,No,Yes,Yes,No,No,20.181896551724137,0
1,70.45,70.45,Female,1,Yes,No,Yes,No,Fiber optic,35.225,1
72,88.05,6425.65,Female,1,Yes,Yes,Yes,Yes,DSL,88.02260273972603,0
8,71.15,563.65,Female,0,No,No,Yes,Yes,DSL,62.62777777777777,1
61,101.05,5971.25,Female,0,Yes,No,Yes,Yes,Fiber optic,96.31048387096774,0
64,84.3,5289.05,Male,0,No,No,Yes,Yes,Fiber optic,81.37,0
71,23.95,1756.2,Male,1,Yes,No,Yes,Yes,No,24.391666666666666,0
65,99.05,6416.7,Female,0,Yes,Yes,Yes,Yes,Fiber optic,97.22272727272727,0
3,19.6,61.35,Male,0,No,No,Yes,No,No,15.3375,0
1,45.65,45.65,Male,0,No,No,Yes,No,DSL,22.825,1
30,64.5,1929.95,Male,0,No,Yes,Yes,No,DSL,62.25645161290323,0
15,69.5,1071.4,Male,0,Yes,Yes,Yes,No,DSL,66.9625,0
8,68.55,564.35,Female,0,Yes,Yes,Yes,No,DSL,62.705555555555556,0
7,95.0,655.5,Male,0,No,No,Yes,Yes,Fiber optic,81.9375,1
70,108.15,7930.55,Female,0,Yes,Yes,Yes,Yes,Fiber optic,111.69788732394366,0
62,86.1,5215.25,Male,0,Yes,Yes,Yes,No,DSL,82.78174603174604,0
6,19.7,113.5,Female,0,Yes,Yes,Yes,No,No,16.214285714285715,0
14,80.9,1152.8,Female,0,Yes,Yes,Yes,No,Fiber optic,76.85333333333332,0
22,84.15,1821.95,Female,0,No,No,Yes,Yes,Fiber optic,79.21521739130435,0
22,20.15,419.9,Male,0,Yes,Yes,Yes,No,No,18.256521739130434,0
16,64.25,1024.0,Male,0,Yes,Yes,Yes,No,DSL,60.23529411764706,0
10,25.7,251.6,Male,0,No,No,Yes,Yes,No,22.87272727272727,0
13,56.0,764.55,Female,0,No,Yes,Yes,No,DSL,54.61071428571428,0
20,82.4,1592.35,Female,0,Yes,No,Yes,Yes,Fiber optic,75.82619047619048,1
2,69.7,135.2,Female,0,No,No,Yes,No,Fiber optic,45.06666666666666,0
53,73.9,3958.25,Male,0,No,No,Yes,Yes,DSL,73.30092592592592,0
11,20.6,233.9,Female,0,Yes,Yes,Yes,No,No,19.491666666666667,0
69,19.9,1363.45,Male,0,Yes,No,Yes,No,No,19.477857142857143,0
4,70.9,273.0,Female,0,No,No,Yes,No,Fiber optic,54.6,1
72,89.05,6254.45,Male,0,Yes,No,Yes,Yes,DSL,85.67739726027396,0
58,45.3,2651.2,Male,1,Yes,No,No,No phone service,DSL,44.93559322033898,1
16,20.4,321.4,Female,0,Yes,Yes,Yes,No,No,18.905882352941177,0
43,84.25,3539.25,Male,0,Yes,No,Yes,No,Fiber optic,80.4375,0
2,104.4,242.8,Female,0,Yes,No,Yes,Yes,Fiber optic,80.93333333333334,1
14,81.95,1181.75,Male,0,Yes,No,Yes,No,DSL,78.78333333333333,0
53,94.85,5000.2,Female,0,Yes,No,Yes,No,Fiber optic,92.59629629629629,1
32,20.55,654.55,Female,0,No,No,Yes,No,No,19.834848484848482,0
34,24.7,780.2,Female,0,Yes,No,Yes,Yes,No,22.291428571428572,0
15,74.45,1145.7,Female,1,No,No,Yes,Yes,Fiber optic,71.60625,1
7,76.45,503.6,Female,1,No,No,Yes,No,Fiber optic,62.95,1
15,105.35,1559.25,Female,0,Yes,Yes,Yes,Yes,Fiber optic,97.453125,0
61,20.55,1252.0,Male,0,Yes,No,Yes,No,No,20.193548387096776,0
1,29.95,29.95,Female,0,No,No,No,No phone service,DSL,14.975,1
1,45.3,45.3,Female,0,No,No,Yes,No,DSL,22.65,0
8,84.5,662.65,Male,0,No,No,Yes,Yes,Fiber optic,73.62777777777778,1
33,74.75,2453.3,Male,0,Yes,Yes,Yes,No,DSL,72.15588235294118,0
13,79.25,1111.65,Female,0,No,No,Yes,No,Fiber optic,79.40357142857144,1
1,24.8,24.8,Female,0,Yes,No,No,No phone service,DSL,12.4,1
20,51.8,1023.85,Male,0,No,No,Yes,No,DSL,48.75476190476191,0
3,30.4,82.15,Male,0,No,No,No,No phone service,DSL,20.5375,0
13,19.65,244.8,Female,0,No,No,Yes,No,No,17.485714285714288,0
40,56.6,2379.1,Female,0,Yes,No,Yes,Yes,DSL,58.02682926829268,0
43,71.9,3173.35,Male,0,Yes,Yes,Yes,Yes,DSL,72.12159090909091,0
6,91.0,531.0,Male,0,Yes,No,Yes,No,Fiber optic,75.85714285714286,1
69,19.75,1375.4,Female,0,Yes,Yes,Yes,No,No,19.64857142857143,0
72,109.7,8129.3,Female,0,Yes,Yes,Yes,Yes,Fiber optic,111.36027397260274,0
59,19.3,1192.7,Male,0,Yes,Yes,Yes,No,No,19.878333333333334,0
20,96.55,1901.65,Female,0,Yes,No,Yes,No,Fiber optic,90.5547619047619,0
24,24.1,587.4,Male,0,Yes,Yes,Yes,Yes,No,23.496,0
59,111.35,6519.75,Male,0,No,No,Yes,Yes,Fiber optic,108.6625,0
72,112.25,8041.65,Male,0,Yes,Yes,Yes,Yes,Fiber optic,110.15958904109588,0
1,20.75,20.75,Male,0,No,Yes,Yes,No,No,10.375,0
27,101.9,2681.15,Female,0,Yes,No,Yes,No,Fiber optic,95.75535714285715,0
14,80.05,1112.3,Female,0,No,No,Yes,No,Fiber optic,74.15333333333334,0
71,105.55,7405.5,Male,0,Yes,Yes,Yes,Yes,Fiber optic,102.85416666666667,0
13,78.3,1033.95,Male,0,No,Yes,Yes,No,Fiber optic,73.85357142857143,0
44,68.85,2958.95,Male,0,No,No,Yes,No,Fiber optic,65.75444444444445,0
33,79.95,2684.85,Female,0,No,No,Yes,No,Fiber optic,78.96617647058824,0
72,55.45,4179.2,Male,0,Yes,Yes,No,No phone service,DSL,57.249315068493146,0
1,79.9,79.9,Male,0,No,No,Yes,No,Fiber optic,39.95,1
19,106.6,1934.45,Female,0,No,No,Yes,No,Fiber optic,96.7225,1
64,102.45,6654.1,Male,0,Yes,No,Yes,No,Fiber optic,102.37076923076924,0
2,46.0,84.5,Male,0,No,No,Yes,No,DSL,28.166666666666668,1
1,25.25,25.25,Female,0,No,No,No,No phone service,DSL,12.625,0
61,19.75,1124.2,Male,0,No,Yes,Yes,No,No,18.13225806451613,0
29,20.0,540.05,Female,0,Yes,Yes,Yes,No,No,18.001666666666665,0
23,86.8,1975.85,Male,1,Yes,No,Yes,Yes,Fiber optic,82.32708333333333,0
57,58.75,3437.45,Female,0,Yes,No,No,No phone service,DSL,59.266379310344824,0
72,45.25,3139.8,Male,0,Yes,Yes,No,No phone service,DSL,43.01095890410959,0
66,56.6,3789.2,Male,0,Yes,No,No,No phone service,DSL,56.55522388059701,0
65,84.2,5324.5,Male,0,Yes,Yes,Yes,Yes,DSL,80.67424242424242,0
8,80.0,624.6,Female,0,No,No,Yes,No,Fiber optic,69.4,0
4,70.15,268.35,Female,0,No,No,Yes,No,Fiber optic,53.67,1
71,24.75,1836.9,Female,0,Yes,No,Yes,Yes,No,25.512500000000003,0
1,20.2,20.2,Male,0,Yes,Yes,Yes,No,No,10.1,0
4,50.05,179.35,Male,0,Yes,No,Yes,No,DSL,35.87,1
12,19.35,219.35,Female,0,No,No,Yes,No,No,16.873076923076923,0
24,50.6,1288.75,Male,0,No,No,No,No phone service,DSL,51.55,0
31,81.15,2545.75,Female,0,Yes,Yes,Yes,No,DSL,79.5546875,0
1,55.2,55.2,Female,0,Yes,No,Yes,No,DSL,27.6,1
30,89.9,2723.15,Male,0,No,No,Yes,Yes,Fiber optic,87.84354838709677,0
47,85.3,4107.25,Female,0,Yes,Yes,Yes,Yes,DSL,85.56770833333333,0
54,108.0,5760.65,Male,0,No,No,Yes,Yes,Fiber optic,104.7390909090909,0
50,93.5,4747.5,Male,0,No,No,Yes,No,Fiber optic,93.08823529411765,0
1,84.6,84.6,Male,0,No,No,Yes,No,Fiber optic,42.3,1
72,20.25,1566.9,Female,0,No,No,Yes,No,No,21.464383561643835,0
29,25.15,702.0,Female,0,No,No,Yes,Yes,No,23.4,0
2,54.4,114.1,Male,0,No,No,Yes,Yes,DSL,38.03333333333333,1
10,29.6,299.05,Female,0,No,No,No,No phone service,DSL,27.186363636363637,0
18,73.15,1305.95,Male,0,Yes,No,Yes,Yes,Fiber optic,68.73421052631579,0
11,95.0,1120.3,Female,1,No,No,Yes,No,Fiber optic,93.35833333333333,1
16,19.75,284.35,Male,0,No,No,Yes,No,No,16.726470588235294,0
72,86.6,6350.5,Female,0,No,No,Yes,Yes,DSL,86.9931506849315,0
72,109.2,7878.3,Male,0,No,No,Yes,Yes,Fiber optic,107.92191780821918,0
41,74.7,3187.65,Female,0,Yes,Yes,Yes,No,DSL,75.89642857142857,0
65,94.4,6126.15,Female,1,Yes,No,Yes,No,Fiber optic,92.82045454545454,0
13,54.8,731.3,Female,1,No,No,Yes,No,DSL,52.23571428571428,0
4,75.35,273.4,Male,1,No,No,Yes,No,Fiber optic,54.67999999999999,0
41,65.0,2531.8,Male,0,No,No,Yes,Yes,DSL,60.280952380952385,0
15,74.4,1074.3,Male,1,No,No,Yes,No,Fiber optic,67.14375,1
1,48.55,48.55,Male,0,No,No,Yes,No,DSL,24.275,1
42,99.0,4298.45,Male,0,No,No,Yes,Yes,Fiber optic,99.96395348837208,0
51,93.5,4619.55,Female,0,Yes,No,Yes,No,Fiber optic,88.8375,0
2,70.4,147.15,Female,0,Yes,Yes,Yes,No,Fiber optic,49.050000000000004,1
1,40.2,40.2,Male,1,Yes,No,No,No phone service,DSL,20.1,1
32,83.7,2633.3,Male,0,No,Yes,Yes,Yes,DSL,79.7969696969697,0
10,19.85,193.05,Male,0,No,No,Yes,No,No,17.55,0
67,59.55,4103.9,Female,0,Yes,Yes,No,No phone service,DSL,60.35147058823529,0
61,115.1,7008.15,Female,0,Yes,Yes,Yes,Yes,Fiber optic,113.03467741935484,0
50,114.35,5791.1,Male,0,No,No,Yes,Yes,Fiber optic,113.55098039215687,0
2,44.6,80.55,Female,0,Yes,No,Yes,No,DSL,26.849999999999998,1
29,45.0,1228.65,Female,1,Yes,No,No,No phone service,DSL,40.955000000000005,0
3,41.15,132.2,Male,1,No,No,No,No phone service,DSL,33.05,1
13,106.9,1364.3,Male,1,No,No,Yes,Yes,Fiber optic,97.45,1
57,89.85,4925.35,Male,1,Yes,No,Yes,Yes,Fiber optic,84.9198275862069,0
31,49.85,1520.1,Female,0,No,No,No,No phone service,DSL,47.503125,0
45,113.3,5032.25,Female,0,Yes,No,Yes,Yes,Fiber optic,109.39673913043478,0
61,88.1,5526.75,Female,0,Yes,Yes,Yes,Yes,DSL,89.14112903225806,0
50,24.9,1195.25,Male,0,No,No,Yes,Yes,No,23.436274509803923,0
19,105.0,2007.25,Female,1,No,No,Yes,No,Fiber optic,100.3625,0
59,19.35,1099.6,Male,0,No,No,Yes,No,No,18.326666666666664,1
71,24.25,1732.95,Female,0,Yes,No,Yes,Yes,No,24.06875,0
16,94.45,1511.2,Female,1,No,No,Yes,No,Fiber optic,88.89411764705882,1
57,59.75,3450.15,Male,0,Yes,No,Yes,No,DSL,59.48534482758621,0
1,24.8,24.8,Male,0,No,No,No,No phone service,DSL,12.4,1
20,107.05,2172.05,Male,1,Yes,No,Yes,Yes,Fiber optic,103.43095238095239,0
1,70.6,70.6,Male,0,No,No,Yes,No,Fiber optic,35.3,1
5,85.4,401.1,Male,0,Yes,No,Yes,Yes,Fiber optic,66.85000000000001,1
52,105.05,5624.85,Female,0,Yes,No,Yes,Yes,Fiber optic,106.12924528301888,1
21,64.95,1339.8,Male,1,Yes,No,Yes,No,DSL,60.9,0
14,55.0,771.95,Male,0,No,No,No,No phone service,DSL,51.46333333333334,0
5,50.55,244.75,Female,0,No,No,Yes,No,DSL,40.791666666666664,0
6,55.15,322.9,Female,0,No,No,Yes,No,DSL,46.128571428571426,0
10,51.2,498.25,Female,0,No,No,Yes,No,DSL,45.29545454545455,0
1,25.4,25.4,Female,0,No,Yes,Yes,Yes,No,12.7,0
68,54.45,3687.75,Female,0,No,No,Yes,Yes,DSL,53.44565217391305,0
18,95.15,1779.95,Male,0,Yes,Yes,Yes,No,Fiber optic,93.68157894736842,1
22,76.0,1783.6,Female,0,No,No,Yes,Yes,Fiber optic,77.54782608695652,0
20,44.35,927.15,Female,0,No,No,Yes,No,DSL,44.15,0
1,70.0,70.0,Male,0,Yes,No,Yes,No,Fiber optic,35.0,1
8,74.5,606.55,Male,1,No,No,Yes,No,Fiber optic,67.39444444444445,1
10,44.85,435.4,Male,0,No,No,Yes,No,DSL,39.58181818181818,1
24,76.1,1712.7,Male,1,No,No,Yes,Yes,Fiber optic,68.508,1
35,61.2,2021.2,Male,0,No,No,Yes,No,DSL,56.144444444444446,0
23,86.8,1940.8,Male,0,Yes,Yes,Yes,No,Fiber optic,80.86666666666666,0
6,89.35,567.8,Female,1,No,No,Yes,No,Fiber optic,81.11428571428571,0
12,19.7,220.35,Female,0,No,No,Yes,No,No,16.95,0
1,20.25,20.25,Male,0,No,No,Yes,No,No,10.125,0
71,76.05,5436.45,Female,0,Yes,Yes,Yes,No,Fiber optic,75.50625,0
35,100.8,3437.5,Male,1,Yes,No,Yes,Yes,Fiber optic,95.48611111111111,0
40,74.55,3015.75,Male,0,Yes,Yes,Yes,Yes,DSL,73.5548780487805,0
1,73.6,73.6,Female,0,No,Yes,Yes,No,Fiber optic,36.8,1
23,64.9,1509.8,Male,0,No,No,Yes,No,DSL,62.90833333333333,0
4,95.45,396.1,Female,1,No,No,Yes,Yes,Fiber optic,79.22,1
4,90.4,356.65,Male,0,No,No,Yes,No,Fiber optic,71.33,0
68,60.3,4109.0,Female,0,Yes,Yes,No,No phone service,DSL,59.55072463768116,0
38,81.85,3141.7,Male,0,No,Yes,Yes,Yes,Fiber optic,80.55641025641025,0
52,24.8,1229.1,Male,0,Yes,Yes,Yes,Yes,No,23.19056603773585,0
32,74.9,2303.35,Male,1,Yes,No,Yes,Yes,Fiber optic,69.79848484848485,1
29,75.55,2054.4,Male,0,Yes,Yes,Yes,No,DSL,68.48,0
38,101.15,3741.85,Male,1,Yes,Yes,Yes,Yes,Fiber optic,95.94487179487179,0
48,78.75,3682.45,Male,0,No,Yes,Yes,Yes,DSL,75.15204081632653,0
1,19.25,19.25,Female,0,No,No,Yes,No,No,9.625,0
22,89.05,1886.25,Female,0,No,No,Yes,No,Fiber optic,82.01086956521739,0
43,115.05,4895.1,Female,0,No,No,Yes,Yes,Fiber optic,111.25227272727274,0
5,69.35,341.6,Female,1,Yes,No,Yes,No,Fiber optic,56.93333333333334,0
5,80.6,415.55,Male,0,No,No,Yes,No,Fiber optic,69.25833333333334,1
51,110.05,5686.4,Male,0,Yes,Yes,Yes,Yes,Fiber optic,109.35384615384615,0
71,19.9,1355.1,Male,0,No,No,Yes,No,No,18.820833333333333,0
38,80.3,3058.65,Female,0,Yes,Yes,Yes,No,DSL,78.42692307692307,1
24,93.15,2231.05,Male,1,Yes,No,Yes,No,Fiber optic,89.242,1
35,91.5,3236.35,Male,0,Yes,No,Yes,Yes,Fiber optic,89.89861111111111,0
54,82.45,4350.1,Female,1,No,No,Yes,Yes,DSL,79.09272727272727,1
72,60.0,4264.0,Female,0,Yes,Yes,No,No phone service,DSL,58.41095890410959,0
1,44.8,44.8,Male,0,No,No,Yes,No,DSL,22.4,0
9,48.6,422.3,Female,0,Yes,Yes,Yes,No,DSL,42.230000000000004,0
69,60.05,4176.7,Male,0,No,No,No,No phone service,DSL,59.667142857142856,0
52,102.7,5138.1,Female,0,Yes,No,Yes,Yes,Fiber optic,96.94528301886793,0
11,82.9,880.05,Female,1,Yes,No,Yes,No,Fiber optic,73.33749999999999,0
2,70.35,139.05,Female,1,No,No,Yes,No,Fiber optic,46.35,1
28,35.9,973.65,Female,1,Yes,Yes,No,No phone service,DSL,33.574137931034485,0
